time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,sim_type,sim_time,mutation_strength,popsize,loss
2024-02-20T19:16:27.158,55369229716829187083466889085589369980,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0250713121515194
2024-02-20T19:16:30.076,55369229716829187083466889085589369980,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0243386289363734
2024-02-20T19:16:33.01,55369229716829187083466889085589369980,10,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0234030577846185
2024-02-20T19:16:35.932,55369229716829187083466889085589369980,15,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.022744456886786
2024-02-20T19:16:38.996,55369229716829187083466889085589369980,20,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0220718911576108
2024-02-20T19:16:42.068,55369229716829187083466889085589369980,25,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.021286762613857
2024-02-20T19:16:45.015,55369229716829187083466889085589369980,30,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0204713565714556
2024-02-20T19:16:48.031,55369229716829187083466889085589369980,35,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.019576617803683
2024-02-20T19:16:51.001,55369229716829187083466889085589369980,40,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0190327775596164
2024-02-20T19:16:53.951,55369229716829187083466889085589369980,45,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0181623935872
2024-02-20T19:16:56.982,55369229716829187083466889085589369980,50,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.01746470834021
2024-02-20T19:16:59.907,55369229716829187083466889085589369980,55,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0166713917545036
2024-02-20T19:17:02.834,55369229716829187083466889085589369980,60,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.015895466414998
2024-02-20T19:17:05.755,55369229716829187083466889085589369980,65,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0149176050020294
2024-02-20T19:17:08.677,55369229716829187083466889085589369980,70,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.014121472853048
2024-02-20T19:17:11.58,55369229716829187083466889085589369980,75,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0134634260323954
2024-02-20T19:17:14.502,55369229716829187083466889085589369980,80,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.012746938576645
2024-02-20T19:17:17.472,55369229716829187083466889085589369980,85,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.012076140577746
2024-02-20T19:17:20.421,55369229716829187083466889085589369980,90,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0111480980131016
2024-02-20T19:17:23.374,55369229716829187083466889085589369980,95,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.010427108419144
2024-02-20T19:17:26.346,55369229716829187083466889085589369980,100,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0094847009327963
2024-02-20T19:17:29.29,55369229716829187083466889085589369980,105,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.008882417845008
2024-02-20T19:17:32.22,55369229716829187083466889085589369980,110,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.007742916566475
