time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,sim_type,sim_time,loss
2024-02-11T20:30:17.95,336154749264442613236517730055768956722,0,5,4,3,1.0471975511965976,1.0,0.1,Diff,1000.0,0.8522456549151749
2024-02-11T20:30:18.111,336154745303034487525968964852647736798,0,5,4,3,1.0471975511965976,1.0,0.1,Diff,1000.0,1.0239289330657642
2024-02-11T20:30:18.394,336154749264442613238943657063780689820,0,5,4,4,0.7853981633974483,1.0,0.1,Diff,1000.0,2.5582458535996486
2024-02-11T20:30:18.674,336154750056724238380082674264932262704,0,5,4,4,0.7853981633974483,1.0,0.1,Diff,1000.0,1.031343904395907
2024-02-11T20:30:18.995,336154768279201616660938014432806571886,0,5,4,5,0.6283185307179586,1.0,0.1,Diff,1000.0,1.6804108838575076
2024-02-11T20:30:19.421,336154735003373360672063088369148470445,0,5,4,2,1.5707963267948966,1.0,0.1,Diff,1000.0,0.9822592279857134
2024-02-11T20:30:19.743,336154729457401984672208711077912638968,0,5,4,2,1.5707963267948966,1.0,0.1,Diff,1000.0,2.6431619346545983
2024-02-11T20:30:19.951,336154904551641141198169245967036930917,0,5,4,5,0.6283185307179586,1.0,0.1,Diff,1000.0,1.3968009594547275
2024-02-11T20:30:20.484,336154735003373360669152997248010456874,0,5,4,2,1.5707963267948966,1.0,0.1,Diff,1000.0,0.8881773766820775
2024-02-11T20:30:20.922,336154728823576684556922174553785430918,0,5,4,1,0.0,1.0,0.1,Diff,1000.0,0.3727136494199141
2024-02-11T20:30:21.077,336154723119148983530901326409535743969,0,5,4,1,0.0,1.0,0.1,Diff,1000.0,1.1798223664958467
2024-02-11T20:30:21.283,336154747679879362953429400543486965136,0,5,4,3,1.0471975511965976,1.0,0.1,Diff,1000.0,1.355035172801543
2024-02-11T20:30:21.948,336154747679879362954953818720855831304,0,5,4,4,0.7853981633974483,1.0,0.1,Diff,1000.0,1.4611349366756015
2024-02-11T20:30:23.14,336154728823576684558203394151979048913,0,5,4,1,0.0,1.0,0.1,Diff,1000.0,0.33982420636815647
2024-02-11T20:30:23.356,336154750056724238378895705769393343534,0,5,4,5,0.6283185307179586,1.0,0.1,Diff,1000.0,0.7417937038065091
2024-02-11T20:30:35.619,336154728823576684556922174553785430918,5,5,4,1,0.0,1.0,0.1,Diff,1000.0,0.3642003492150618
2024-02-11T20:30:44.346,336154735003373360672063088369148470445,5,5,4,2,1.5707963267948966,1.0,0.1,Diff,1000.0,0.9620871460547654
2024-02-11T20:30:44.613,336154745303034487525968964852647736798,5,5,4,3,1.0471975511965976,1.0,0.1,Diff,1000.0,0.9137195982500392
2024-02-11T20:30:45.421,336154749264442613236517730055768956722,5,5,4,3,1.0471975511965976,1.0,0.1,Diff,1000.0,0.8158510675391657
2024-02-11T20:30:45.934,336154904551641141198169245967036930917,5,5,4,5,0.6283185307179586,1.0,0.1,Diff,1000.0,1.3907195053733095
2024-02-11T20:30:46.828,336154728823576684558203394151979048913,5,5,4,1,0.0,1.0,0.1,Diff,1000.0,0.3260464893008163
2024-02-11T20:30:47.041,336154735003373360669152997248010456874,5,5,4,2,1.5707963267948966,1.0,0.1,Diff,1000.0,0.8734374631675146
2024-02-11T20:30:47.531,336154723119148983530901326409535743969,5,5,4,1,0.0,1.0,0.1,Diff,1000.0,1.1564110839314843
2024-02-11T20:30:47.746,336154728823576684556922174553785430918,10,5,4,1,0.0,1.0,0.1,Diff,1000.0,0.354277296808256
2024-02-11T20:30:47.917,336154729457401984672208711077912638968,5,5,4,2,1.5707963267948966,1.0,0.1,Diff,1000.0,2.6141957090473924
2024-02-11T20:30:48.321,336154749264442613238943657063780689820,5,5,4,4,0.7853981633974483,1.0,0.1,Diff,1000.0,1.95393996762493
2024-02-11T20:30:48.991,336154747679879362953429400543486965136,5,5,4,3,1.0471975511965976,1.0,0.1,Diff,1000.0,1.3329367668415235
2024-02-11T20:30:49.711,336154768279201616660938014432806571886,5,5,4,5,0.6283185307179586,1.0,0.1,Diff,1000.0,1.6350780149585002
