time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,sim_type,sim_time,loss
2024-01-15T21:11:37.933,98266037498966709101723104022480381661,0,3,2,3,0.7853981633974483,1.0,0.1,Diff,50.0,2.78817234182565
2024-01-15T21:11:37.933,98266040034267909560720146462979480807,0,3,3,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.7375682692015415
2024-01-15T21:11:37.933,98266037498966709104447223213722778389,0,3,2,3,0.7853981633974483,1.0,0.1,Diff,50.0,2.0018151867884844
2024-01-15T21:11:37.933,98266039241986284415322353491623298219,0,3,2,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.8919000290427568
2024-01-15T21:11:37.933,98266063802716663836251074780832557589,0,3,3,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.8252421782102014
2024-01-15T21:11:37.933,98266040034267909556847757497156697933,0,3,3,3,0.7853981633974483,1.0,0.1,Diff,50.0,1.2152174814601857
2024-01-15T21:11:37.933,98266082975931992291682718360476784162,0,3,5,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.2407784449442353
2024-01-15T21:11:37.933,98266057464463662694625970461768361173,0,3,3,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.23934712643091147
2024-01-15T21:11:37.933,98266089948010293547449949626487917450,0,3,5,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.5396971965603397
2024-01-15T21:11:37.933,98266095493981669543751203609097613826,0,3,4,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.26460716624775726
2024-01-15T21:11:37.934,98266479750569863727745449666060925690,0,3,5,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.7494316523982955
2024-01-15T21:11:37.933,98266101039953045543112694631443730519,0,4,4,3,0.7853981633974483,1.0,0.1,Diff,50.0,1.0512697931461925
2024-01-15T21:11:37.933,98266148576850554101526105679896915727,0,3,10,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.2964137493169087
2024-01-15T21:11:37.934,98266226220449818079882119412462953502,0,3,10,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.2293584447180704
2024-01-15T21:11:37.933,98266082975931992288141263582143772457,0,3,7,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.3829256590883566
2024-01-15T21:11:37.934,98266642168303017966279264690312535747,0,10,6,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.6323144352004846
2024-01-15T21:11:39.393,99422901141162692280183938923780748829,0,4,2,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.754736523234432
2024-01-15T21:11:39.641,99618641447188808609314953119376889131,0,4,2,3,0.7853981633974483,1.0,0.1,Diff,50.0,5.638388229034742
2024-01-15T21:11:39.79,99737008321985119532122004235566375053,0,4,2,3,0.7853981633974483,1.0,0.1,Diff,50.0,5.719337234703932
2024-01-15T21:11:39.932,99849864085796938224143829385660129355,0,4,2,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.8843165420326078
2024-01-15T21:11:40.021,99920127581722713551084919130464939623,0,3,4,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.4146648297525169
2024-01-15T21:11:40.012,99912542277443597884847308836524369800,0,3,5,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.4493378647436425
2024-01-15T21:11:39.58,99570245557942270356555584979634023537,0,7,6,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.6014316007989987
2024-01-15T21:11:39.55,99546868654767136546783352950799389270,0,10,4,3,0.7853981633974483,1.0,0.1,Diff,50.0,2.7373611529443997
2024-01-15T21:11:40.794,100532655559471368858501037716087850115,0,3,6,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.7595298852655136
2024-01-15T21:11:41.051,100735852820153327744174829673816415526,0,3,4,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.17303357720885573
2024-01-15T21:11:40.396,100217375960300055523251873626003468301,0,10,4,3,0.7853981633974483,1.0,0.1,Diff,50.0,2.133425766782094
2024-01-15T21:11:40.949,100655053563176405546582265137735050129,0,3,6,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.07964260197202287
2024-01-15T21:11:41.559,101138754171831991607888151997005397475,0,4,3,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.730672024778409
2024-01-15T21:11:40.765,100509429823630312266006241437071143061,0,10,4,3,0.7853981633974483,1.0,0.1,Diff,50.0,2.3357439794876025
2024-01-15T21:11:41.256,100898253915393441643017172371121110411,0,10,5,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.5029373254605486
2024-01-15T21:11:42.423,101822937684321797867578331543060920528,0,3,8,3,0.7853981633974483,1.0,0.1,Diff,50.0,1.076074180364332
2024-01-15T21:11:41.448,101050365649167828028914380300719781335,0,9,7,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.9303137941148499
2024-01-15T21:11:43.192,102432007352776705529683197086911246880,0,5,3,3,0.7853981633974483,1.0,0.1,Diff,50.0,1.6592846016091123
2024-01-15T21:11:43.179,102421819403358996281472071367542624452,0,3,4,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.35934747063254197
2024-01-15T21:11:42.16,101614728450079186616270527533193772069,0,10,7,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.6513614111536744
2024-01-15T21:11:44.136,103174681056242667437130878803431715097,0,3,6,3,0.7853981633974483,1.0,0.1,Diff,50.0,0.6318787725230173
