time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,sim_type,sim_time,loss
2024-02-17T20:06:43.94,234686374460869266661659056706031218913,0,5,4,1,0.0,0.05,0.05,Diff,1000.0,0.00022410201406037963
2024-02-17T20:06:46.252,234823986807078242556672958666804035033,0,5,4,1,0.0,0.05,0.8,Diff,1000.0,2.9888196641510567
2024-02-17T20:06:46.308,234824061123094680937766201322181855654,0,5,4,1,0.0,0.05,1.6,Diff,1000.0,5.3585603241473905
2024-02-17T20:06:46.441,234823824230888763289764657014565193804,0,5,4,1,0.0,0.05,0.1,Diff,1000.0,0.5244912779674762
2024-02-17T20:06:46.478,234824115790526815779156874216001780896,0,5,4,1,0.0,0.05,0.2,Diff,1000.0,2.1835435729760646
2024-02-17T20:06:46.622,234824169507221000452880724527226346005,0,5,4,1,0.0,0.05,0.4,Diff,1000.0,4.876932003437812
2024-02-17T20:06:46.664,234824195018689330047579674847703097029,0,5,4,1,0.0,0.05,0.8,Diff,1000.0,4.040871729012352
2024-02-17T20:06:46.77,234824142728102070629574900918709032692,0,5,4,1,0.0,0.05,0.4,Diff,1000.0,2.4595146596102198
2024-02-17T20:06:46.867,234823913758712404407356378816237952188,0,5,4,1,0.0,0.05,0.4,Diff,1000.0,2.489774696133431
2024-02-17T20:06:47.034,235087986928800148472105188545792322630,0,5,4,1,0.0,0.05,0.2,Diff,1000.0,0.8356236813665633
2024-02-17T20:06:47.078,235340810967461467226685618585755105248,0,5,4,1,0.0,0.05,0.05,Diff,1000.0,0.00032168030630939676
2024-02-17T20:06:47.08,235815736264836973372643418912808521935,0,5,4,1,0.0,0.05,0.8,Diff,1000.0,2.9204842247168776
2024-02-17T20:06:47.232,236512944094962499541848562959368383920,0,5,4,1,0.0,0.05,0.05,Diff,1000.0,0.00031145228489323393
2024-02-17T20:06:47.239,234824088852951560930214467316045190207,0,5,4,1,0.0,0.05,1.6,Diff,1000.0,3.211223963859768
2024-02-17T20:06:47.322,234823962880173163253260668474304277816,0,5,4,1,0.0,0.05,0.4,Diff,1000.0,0.23584702290184212
2024-02-17T20:06:47.368,234823886821137149555340134842674689503,0,5,4,1,0.0,0.05,0.2,Diff,1000.0,1.23920348146957
2024-02-17T20:06:47.472,236038538534333086973968668955893876724,0,5,4,1,0.0,0.05,0.05,Diff,1000.0,0.00028168859055688057
