time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,sim_type,sim_time,loss
2024-01-13T15:29:03.241,33961516049501425913682237105508837876,0,5,2,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,14.49311660270528
2024-01-13T15:29:03.241,33961512880374925344784197553224242804,0,5,3,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,6.953251137442179
2024-01-13T15:29:06.512,33961516049501425913682237105508837876,5,5,2,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,7.05723942985842
2024-01-13T15:29:07.273,33961512880374925344784197553224242804,5,5,3,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,1.530362762411821
2024-01-13T15:29:07.739,33961516049501425913682237105508837876,10,5,2,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,6.76624271526978
2024-01-13T15:29:08.949,33961516049501425913682237105508837876,15,5,2,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,6.76624271526978
2024-01-13T15:29:09.647,33961512880374925344784197553224242804,10,5,3,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,1.3912221660764816
2024-01-13T15:29:10.366,33961516049501425913682237105508837876,20,5,2,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,6.652341547090665
2024-01-13T15:29:11.783,33961516049501425913682237105508837876,25,5,2,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,6.502809324974462
2024-01-13T15:29:12.032,33961512880374925344784197553224242804,15,5,3,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,1.2757061838014805
2024-01-13T15:29:13.153,33961516049501425913682237105508837876,30,5,2,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,6.502809324974462
2024-01-13T15:29:14.612,33961516049501425913682237105508837876,35,5,2,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,6.46089909029984
2024-01-13T15:29:14.496,33961512880374925344784197553224242804,20,5,3,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,1.1269858031070383
2024-01-13T15:29:16.197,33961516049501425913682237105508837876,40,5,2,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,6.3675567211517405
2024-01-13T15:29:17.051,33961512880374925344784197553224242804,25,5,3,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,1.1269858031070383
2024-01-13T15:29:17.841,33961516049501425913682237105508837876,45,5,2,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,6.3675567211517405
2024-01-13T15:29:19.42,33961516049501425913682237105508837876,50,5,2,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,6.34588538075267
2024-01-13T15:29:19.46,33961512880374925344784197553224242804,30,5,3,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,1.1269858031070383
2024-01-13T15:29:21.863,33961512880374925344784197553224242804,35,5,3,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,1.1269858031070383
2024-01-13T15:29:24.253,33961512880374925344784197553224242804,40,5,3,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,1.1269858031070383
2024-01-13T15:29:26.872,33961512880374925344784197553224242804,45,5,3,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,1.076663124061012
2024-01-13T15:29:29.702,33961512880374925344784197553224242804,50,5,3,3,0.7853981633974483,1.0,0.1,MNN.Diff,100.0,1.0236618536448658
